###########################################################################################################################################################

                         learning rate: 0.0004, lr_decay: 0.8, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
                        batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
                        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False, part: tail, get_old_path: False,
                        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 4, trained vit: plots/Affine/BS_32__lr_6e-05__train_size_9216__CLIP__alpha_10__conv__original_rotated/model.pth,
                        crop: 224 resize: 256, use conv: False pretrained: None, data_ratio: 0.0375, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 200, 

algebraic_truth: 0.01669931411743164		 val_algebraic_truth: 0.017449266380733915
RE1_truth: 0.00018791186020654792		 val_RE1_truth: 0.0002093389630317688
SED_truth: 0.0015032954660116457		 val_SED_truth: 0.0016747269158562024

Epoch 1/9000: 	Training Loss: 4180.639399509804		 Val Loss: 171.952392578125
             	Training MAE: 0.3050059676170349		 Val MAE: 0.31365054845809937
             	Algebraic dist: 113.1114621629902		 Val Algebraic dist: 53.13203599717882
             	RE1 dist: 180055.0588235294		 Val RE1 dist: 4535.280815972223
             	SED dist: 8360.25612745098		 Val SED dist: 342.8512912326389

Epoch 2/9000: 	Training Loss: 51.87716375612745		 Val Loss: 27.695249769422745
             	Training MAE: 0.31221944093704224		 Val MAE: 0.3258747160434723
             	Algebraic dist: 25.309546377144606		 Val Algebraic dist: 30.715152316623264
             	RE1 dist: 711.8324908088235		 Val RE1 dist: 893.2296006944445
             	SED dist: 102.69959214154412		 Val SED dist: 54.35112508138021

Epoch 3/9000: 	Training Loss: 10.112674488740808		 Val Loss: 7.761431376139323
             	Training MAE: 0.3242257237434387		 Val MAE: 0.3355411887168884
             	Algebraic dist: 27.110337201286764		 Val Algebraic dist: 51.50550672743056
             	RE1 dist: 1021.9986979166666		 Val RE1 dist: 2633.6907552083335
             	SED dist: 19.1769074084712		 Val SED dist: 14.476264105902779

Epoch 4/9000: 	Training Loss: 3.870339187921262		 Val Loss: 5.797492133246528
             	Training MAE: 0.3238503336906433		 Val MAE: 0.29847779870033264
             	Algebraic dist: 48.71893190870098		 Val Algebraic dist: 58.188625759548614
             	RE1 dist: 3062.2110906862745		 Val RE1 dist: 5099.245225694444
             	SED dist: 6.892885095932904		 Val SED dist: 10.96618906656901

Epoch 5/9000: 	Training Loss: 4.3570655373966		 Val Loss: 5.728704664442274
             	Training MAE: 0.2920131981372833		 Val MAE: 0.26297929883003235
             	Algebraic dist: 57.363137637867645		 Val Algebraic dist: 65.11671278211806
             	RE1 dist: 3767.235906862745		 Val RE1 dist: 6168.564670138889
             	SED dist: 8.081258736404719		 Val SED dist: 10.953953213161892

Epoch 6/9000: 	Training Loss: 3.0485708199295343		 Val Loss: 11.804837544759115
             	Training MAE: 0.27053317427635193		 Val MAE: 0.30992451310157776
             	Algebraic dist: 46.33871400122549		 Val Algebraic dist: 58.96253797743056
             	RE1 dist: 2949.391544117647		 Val RE1 dist: 3778.1280381944443
             	SED dist: 5.562583175359988		 Val SED dist: 22.90508524576823

Epoch 7/9000: 	Training Loss: 2.7105760761335786		 Val Loss: 8.890648735894096
             	Training MAE: 0.27545365691185		 Val MAE: 0.3040173053741455
             	Algebraic dist: 41.001349954044116		 Val Algebraic dist: 64.67003038194444
             	RE1 dist: 2075.1525735294117		 Val RE1 dist: 5457.950086805556
             	SED dist: 4.878106509937959		 Val SED dist: 17.141854180230034

Epoch 8/9000: 	Training Loss: 2.232544842888327		 Val Loss: 5.926133897569445
             	Training MAE: 0.27788209915161133		 Val MAE: 0.28846311569213867
             	Algebraic dist: 39.23741239659927		 Val Algebraic dist: 51.84130520290799
             	RE1 dist: 2299.6110600490197		 Val RE1 dist: 3371.1775173611113
             	SED dist: 3.919026393516391		 Val SED dist: 11.272104051378038

Epoch 9/9000: 	Training Loss: 2.947238099341299		 Val Loss: 9.45406765407986
             	Training MAE: 0.27189967036247253		 Val MAE: 0.2720237970352173
             	Algebraic dist: 43.16044826133579		 Val Algebraic dist: 49.107455783420136
             	RE1 dist: 2223.1640625		 Val RE1 dist: 2948.7790798611113
             	SED dist: 5.358717376110601		 Val SED dist: 18.35581292046441

Epoch 10/9000: 	Training Loss: 2.515341964422488		 Val Loss: 4.690331776936849
             	Training MAE: 0.26900023221969604		 Val MAE: 0.26024341583251953
             	Algebraic dist: 40.44584865196079		 Val Algebraic dist: 53.55244276258681
             	RE1 dist: 2021.835018382353		 Val RE1 dist: 2923.6814236111113
             	SED dist: 4.5122510124655335		 Val SED dist: 8.901114569769966

Epoch 11/9000: 	Training Loss: 4.048555561140472		 Val Loss: 8.208441840277779
             	Training MAE: 0.2638728618621826		 Val MAE: 0.3008359968662262
             	Algebraic dist: 51.76540958180147		 Val Algebraic dist: 51.73607381184896
             	RE1 dist: 2928.2861519607845		 Val RE1 dist: 2979.511284722222
             	SED dist: 7.584192612591912		 Val SED dist: 15.769899156358507

Epoch 12/9000: 	Training Loss: 5.277415556066177		 Val Loss: 5.677674611409505
             	Training MAE: 0.2733708620071411		 Val MAE: 0.19959783554077148
             	Algebraic dist: 65.38196518841912		 Val Algebraic dist: 46.93479749891493
             	RE1 dist: 5157.0232843137255		 Val RE1 dist: 2262.388671875
             	SED dist: 10.015495150696998		 Val SED dist: 11.036569383409288

Epoch 13/9000: 	Training Loss: 9.614580341413909		 Val Loss: 11.78392113579644
             	Training MAE: 0.26181286573410034		 Val MAE: 0.23616327345371246
             	Algebraic dist: 70.93632716758579		 Val Algebraic dist: 71.22462972005208
             	RE1 dist: 5484.674632352941		 Val RE1 dist: 7667.298611111111
             	SED dist: 18.701511757046568		 Val SED dist: 23.137312147352432

Epoch 14/9000: 	Training Loss: 6.003261790556066		 Val Loss: 5.543164994981554
             	Training MAE: 0.26792192459106445		 Val MAE: 0.22982744872570038
             	Algebraic dist: 61.52802830116421		 Val Algebraic dist: 41.81275092230903
             	RE1 dist: 3952.9188112745096		 Val RE1 dist: 1735.5899522569443
             	SED dist: 11.479103237974877		 Val SED dist: 10.66084459092882

Epoch 15/9000: 	Training Loss: 2.928731581744026		 Val Loss: 6.360086652967665
             	Training MAE: 0.2635881304740906		 Val MAE: 0.25177010893821716
             	Algebraic dist: 38.65489286534927		 Val Algebraic dist: 51.581400553385414
