
###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 4, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: True pretrained: None, seed: 42, angle range: 30, shift range: 32, 
                        train length: 32, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings'],
                        use_cls: False, frozen layer: 0


Epoch 1/1800: Training Loss: 3.55023455619812		 Val Loss: 3.8925670623779296
		Training MAE Angle: 0.5279176235198975		 Val MAE Angle: 0.47492303848266604
              Training MSE Angle: 0.3513208329677582		 Val MSE Angle: 0.31050424575805663
		Training MAE Shift: 0.4938419461250305		 Val MAE Shift: 0.5194568157196044
              Training Euclidean Shift: 0.7608467936515808	 Val Euclidean Shift: 0.794495677947998


Epoch 2/1800: Training Loss: 3.666949510574341		 Val Loss: 3.5092315673828125
		Training MAE Angle: 0.4722830355167389		 Val MAE Angle: 0.4892914295196533
              Training MSE Angle: 0.29447856545448303		 Val MSE Angle: 0.31967184543609617
		Training MAE Shift: 0.5043976306915283		 Val MAE Shift: 0.4853689193725586
              Training Euclidean Shift: 0.7670599222183228	 Val Euclidean Shift: 0.7454778671264648


Epoch 3/1800: Training Loss: 4.2594075202941895		 Val Loss: 3.6109992980957033
		Training MAE Angle: 0.5312970876693726		 Val MAE Angle: 0.5259295463562011
              Training MSE Angle: 0.3621556758880615		 Val MSE Angle: 0.35516631603240967
		Training MAE Shift: 0.5281158089637756		 Val MAE Shift: 0.49162001609802247
              Training Euclidean Shift: 0.8311240673065186	 Val Euclidean Shift: 0.7511593341827393


Epoch 4/1800: Training Loss: 3.305649757385254		 Val Loss: 3.506250762939453
		Training MAE Angle: 0.5406240224838257		 Val MAE Angle: 0.48041558265686035
              Training MSE Angle: 0.36805325746536255		 Val MSE Angle: 0.31394119262695314
		Training MAE Shift: 0.4780496060848236		 Val MAE Shift: 0.48851981163024905
              Training Euclidean Shift: 0.7256594896316528	 Val Euclidean Shift: 0.7516829013824463


Epoch 5/1800: Training Loss: 3.5714786052703857		 Val Loss: 3.3675460815429688
		Training MAE Angle: 0.4905105233192444		 Val MAE Angle: 0.48383593559265137
              Training MSE Angle: 0.32518330216407776		 Val MSE Angle: 0.3213585615158081
		Training MAE Shift: 0.5069576501846313		 Val MAE Shift: 0.47408237457275393
              Training Euclidean Shift: 0.7574682235717773	 Val Euclidean Shift: 0.7325614929199219


Epoch 6/1800: Training Loss: 3.6510753631591797		 Val Loss: 3.5526458740234377
		Training MAE Angle: 0.45039525628089905		 Val MAE Angle: 0.4873711585998535
              Training MSE Angle: 0.32043448090553284		 Val MSE Angle: 0.32268495559692384
		Training MAE Shift: 0.49939125776290894		 Val MAE Shift: 0.4939249515533447
              Training Euclidean Shift: 0.7725957632064819	 Val Euclidean Shift: 0.7589282035827637


Epoch 7/1800: Training Loss: 3.7060225009918213		 Val Loss: 3.806935501098633
		Training MAE Angle: 0.615619421005249		 Val MAE Angle: 0.4588780403137207
              Training MSE Angle: 0.4560907185077667		 Val MSE Angle: 0.2911874532699585
		Training MAE Shift: 0.5037624835968018		 Val MAE Shift: 0.5147062301635742
              Training Euclidean Shift: 0.7542023062705994	 Val Euclidean Shift: 0.7824284076690674


Epoch 8/1800: Training Loss: 4.156007289886475		 Val Loss: 3.4644840240478514
		Training MAE Angle: 0.5707008242607117		 Val MAE Angle: 0.5149165630340576
              Training MSE Angle: 0.397630512714386		 Val MSE Angle: 0.3402761697769165
		Training MAE Shift: 0.5560369491577148		 Val MAE Shift: 0.4756595611572266
              Training Euclidean Shift: 0.8221887350082397	 Val Euclidean Shift: 0.7327254772186279


Epoch 9/1800: Training Loss: 2.993142604827881		 Val Loss: 3.2058509826660155
		Training MAE Angle: 0.4820265769958496		 Val MAE Angle: 0.5365758419036866
              Training MSE Angle: 0.3033115863800049		 Val MSE Angle: 0.36909096240997313
		Training MAE Shift: 0.4384918212890625		 Val MAE Shift: 0.4615201473236084
              Training Euclidean Shift: 0.6866697072982788	 Val Euclidean Shift: 0.7042391300201416


Epoch 10/1800: Training Loss: 3.019171953201294		 Val Loss: 3.104727935791016
		Training MAE Angle: 0.45265933871269226		 Val MAE Angle: 0.48116335868835447
              Training MSE Angle: 0.2795928120613098		 Val MSE Angle: 0.3142282247543335
		Training MAE Shift: 0.45815062522888184		 Val MAE Shift: 0.45394511222839357
              Training Euclidean Shift: 0.6889341473579407	 Val Euclidean Shift: 0.6938381195068359


Epoch 11/1800: Training Loss: 2.6324939727783203		 Val Loss: 2.595905876159668
		Training MAE Angle: 0.37256747484207153		 Val MAE Angle: 0.5071694374084472
              Training MSE Angle: 0.21981404721736908		 Val MSE Angle: 0.3352102756500244
		Training MAE Shift: 0.4115833044052124		 Val MAE Shift: 0.39458751678466797
              Training Euclidean Shift: 0.6297622919082642	 Val Euclidean Shift: 0.6110673904418945


Epoch 12/1800: Training Loss: 2.464388608932495		 Val Loss: 2.6735681533813476
		Training MAE Angle: 0.4723197817802429		 Val MAE Angle: 0.4967036724090576
              Training MSE Angle: 0.31273478269577026		 Val MSE Angle: 0.3264038324356079
		Training MAE Shift: 0.3992369472980499		 Val MAE Shift: 0.41330914497375487
              Training Euclidean Shift: 0.6127685904502869	 Val Euclidean Shift: 0.6339883804321289


