/opt/miniconda3/envs/alon_env/lib/python3.9/site-packages/transformers/utils/generic.py:260: UserWarning: torch.utils._pytree._register_pytree_node is deprecated. Please use torch.utils._pytree.register_pytree_node instead.
  torch.utils._pytree._register_pytree_node(
##### CONTINUE TRAINING #####


## TEST RESULTS: ##
Test Loss: 0.22017294755622524		 Test MAE: 0.022717510163784028
Test Algebraic dist: 1.5763647050999885		 Test Algebraic sqr dist: 6.061089860147505
Test RE1 dist: 3.030544998396688		 Test SED dist: 2.1814356334173857

Test Algebraic dist truth: 0.01758438437732298		 Test Algebraic sqr dist truth: 0.00042394067702898337
Test RE1 dist truth: 0.00021197033851449168		 Test SED dist truth: 0.0016956573991633174


##### CONTINUE TRAINING #####


## TEST RESULTS: ##
Test Loss: 0.1986558759913725		 Test MAE: 0.029402999579906462
Test Algebraic dist: 1.090382901360007		 Test Algebraic sqr dist: 3.5891065036549286
Test RE1 dist: 1.79455327426686		 Test SED dist: 1.945023873273064

Test Algebraic dist truth: 0.017470752491670495		 Test Algebraic sqr dist truth: 0.0004178055507295272
Test RE1 dist truth: 0.0002089027753647636		 Test SED dist truth: 0.0016711915240568273


##### CONTINUE TRAINING #####


## TEST RESULTS: ##
Test Loss: 0.1846322258906578		 Test MAE: 0.03388252332806587
Test Algebraic dist: 1.0310224846227842		 Test Algebraic sqr dist: 2.8372638076099
Test RE1 dist: 1.418631926579262		 Test SED dist: 1.7937555455449803

Test Algebraic dist truth: 0.017599858454803923		 Test Algebraic sqr dist truth: 0.00042511066838876526
Test RE1 dist truth: 0.00021255533419438263		 Test SED dist truth: 0.0017004193209890109


###########################################################################################################################################################

                auged__ learning rate: 0.0001, lr_decay: 0.8, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
                batch_size: 32, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
                average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False,
                SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.1, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, unforzen layers: 0, group conv: False
                crop: 224 resize: 256, use conv: True pretrained: None, data_ratio: 0.2, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None


algebraic_truth: 0.016725870146267655		 val_algebraic_truth: 0.017066065222024918
algebraic_sqr_truth: 0.0003769514083430387	 val_algebraic_sqr_truth: 0.00039316069645186264                                
RE1_truth: 0.00018847570417151934		 val_RE1_truth: 0.00019658034822593132
SED_truth: 0.0015076855602471726		 val_SED_truth: 0.001572479959577322


Epoch 1/1500: Training Loss: 878.6749886775362		 Val Loss: 767.8036295572916
             Training MAE: 0.28703203797340393		 Val MAE: 0.21015040576457977
             Algebraic dist: 1305.9264039855072		 Val Algebraic dist: 326.0673014322917
             Algebraic sqr dist: 7231884.521739131	  Val Algebraic sqr dist: 188362.66666666666
             RE1 dist: 3615942.492753623		 Val RE1 dist: 94181.33333333333
             SED dist: 8784.141304347826		 Val SED dist: 7676.115234375


Epoch 2/1500: Training Loss: 595.6674026268116		 Val Loss: 546.308837890625
             Training MAE: 0.1832548975944519		 Val MAE: 0.1793626993894577
             Algebraic dist: 111.3300922780797		 Val Algebraic dist: 15.323430379231771
             Algebraic sqr dist: 38435.63043478261	  Val Algebraic sqr dist: 657.5926106770834
             RE1 dist: 19217.818840579712		 Val RE1 dist: 328.79632568359375
             SED dist: 5954.989130434783		 Val SED dist: 5461.402994791667


Epoch 3/1500: Training Loss: 358.44137794384056		 Val Loss: 383.2010904947917
             Training MAE: 0.18551044166088104		 Val MAE: 0.1869393140077591
             Algebraic dist: 22.853715537250906		 Val Algebraic dist: 20.430198669433594
             Algebraic sqr dist: 1405.3243885869565	  Val Algebraic sqr dist: 1200.656005859375
             RE1 dist: 702.6621942934783		 Val RE1 dist: 600.3280029296875
             SED dist: 3582.658740942029		 Val SED dist: 3830.2320963541665


Epoch 4/1500: Training Loss: 314.8806329257246		 Val Loss: 388.0956624348958
             Training MAE: 0.19737660884857178		 Val MAE: 0.20296873152256012
             Algebraic dist: 23.485724849977355		 Val Algebraic dist: 26.70361836751302
             Algebraic sqr dist: 1427.6280570652175	  Val Algebraic sqr dist: 1829.3693033854167
             RE1 dist: 713.8140285326087		 Val RE1 dist: 914.6847330729166
             SED dist: 3146.957653985507		 Val SED dist: 3879.0696614583335


Epoch 5/1500: Training Loss: 306.06869904891306		 Val Loss: 315.7520345052083
             Training MAE: 0.1987142413854599		 Val MAE: 0.21126112341880798
             Algebraic dist: 27.322005562160324		 Val Algebraic dist: 36.86857350667318
             Algebraic sqr dist: 2041.84375	  Val Algebraic sqr dist: 3566.66796875
             RE1 dist: 1020.921875		 Val RE1 dist: 1783.333984375
             SED dist: 3058.8460144927535		 Val SED dist: 3155.6171875


Epoch 6/1500: Training Loss: 310.7710880887681		 Val Loss: 310.74204508463544
             Training MAE: 0.2150219976902008		 Val MAE: 0.22290325164794922
             Algebraic dist: 34.464390851449274		 Val Algebraic dist: 25.292246500651043
             Algebraic sqr dist: 3198.4245923913045	  Val Algebraic sqr dist: 1716.5294596354167
             RE1 dist: 1599.2122961956522		 Val RE1 dist: 858.2647298177084
             SED dist: 3105.774230072464		 Val SED dist: 3105.412109375


Epoch 7/1500: Training Loss: 297.40426856884056		 Val Loss: 287.7299397786458
             Training MAE: 0.23282939195632935		 Val MAE: 0.20769409835338593
             Algebraic dist: 47.18560348731884		 Val Algebraic dist: 30.196375528971355
             Algebraic sqr dist: 6280.277626811594	  Val Algebraic sqr dist: 2547.5950520833335
             RE1 dist: 3140.138813405797		 Val RE1 dist: 1273.797607421875
             SED dist: 2972.0101902173915		 Val SED dist: 2875.4264322916665


Epoch 8/1500: Training Loss: 343.5649343297101		 Val Loss: 303.8181559244792
             Training MAE: 0.18918265402317047		 Val MAE: 0.1775662899017334
             Algebraic dist: 26.911539713541668		 Val Algebraic dist: 32.01313273111979
             Algebraic sqr dist: 1975.596920289855	  Val Algebraic sqr dist: 2948.5400390625
             RE1 dist: 987.7984601449275		 Val RE1 dist: 1474.27001953125
             SED dist: 3433.8503170289855		 Val SED dist: 3036.404296875


Epoch 9/1500: Training Loss: 303.4248188405797		 Val Loss: 363.9179280598958
             Training MAE: 0.1828286200761795		 Val MAE: 0.18919029831886292
             Algebraic dist: 35.91515582540761		 Val Algebraic dist: 24.664357503255207
             Algebraic sqr dist: 3442.8516757246375	  Val Algebraic sqr dist: 1680.33251953125
             RE1 dist: 1721.4259510869565		 Val RE1 dist: 840.166259765625
             SED dist: 3032.4827898550725		 Val SED dist: 3637.365234375


Epoch 10/1500: Training Loss: 335.3261152626812		 Val Loss: 297.84226481119794
             Training MAE: 0.18520185351371765		 Val MAE: 0.1778603196144104
             Algebraic dist: 33.64844457653985		 Val Algebraic dist: 58.13067626953125
             Algebraic sqr dist: 3314.4291213768115	  Val Algebraic sqr dist: 9102.427734375
             RE1 dist: 1657.2147871376812		 Val RE1 dist: 4551.2138671875
             SED dist: 3351.454257246377		 Val SED dist: 2976.6617838541665


Epoch 11/1500: Training Loss: 318.0856827445652		 Val Loss: 658.8080240885416
             Training MAE: 0.18474555015563965		 Val MAE: 0.18490466475486755
             Algebraic dist: 51.746256510416664		 Val Algebraic dist: 26.805145263671875
             Algebraic sqr dist: 7452.98143115942	  Val Algebraic sqr dist: 1781.6438802083333
             RE1 dist: 3726.49071557971		 Val RE1 dist: 890.822021484375
             SED dist: 3179.080615942029		 Val SED dist: 6586.138020833333


Epoch 12/1500: Training Loss: 718.8756227355072		 Val Loss: 416.1759440104167
             Training MAE: 0.21030762791633606		 Val MAE: 0.21494761109352112
             Algebraic dist: 21.016537873641305		 Val Algebraic dist: 20.806952158610027
             Algebraic sqr dist: 1068.1461730072465	  Val Algebraic sqr dist: 1256.1827799479167
             RE1 dist: 534.0730865036232		 Val RE1 dist: 628.0913899739584
             SED dist: 7186.63134057971		 Val SED dist: 4159.889322916667


Epoch 13/1500: Training Loss: 378.9769870923913		 Val Loss: 365.2334391276042
             Training MAE: 0.27284133434295654		 Val MAE: 0.32753482460975647
             Algebraic dist: 47.88712211277174		 Val Algebraic dist: 31.807512919108074
             Algebraic sqr dist: 7426.666666666667	  Val Algebraic sqr dist: 2703.38818359375
             RE1 dist: 3713.3335597826085		 Val RE1 dist: 1351.694091796875
             SED dist: 3786.910778985507		 Val SED dist: 3647.5869140625


Epoch 14/1500: Training Loss: 323.4074954710145		 Val Loss: 332.7690022786458
             Training MAE: 0.3414531350135803		 Val MAE: 0.34450218081474304
             Algebraic dist: 16.83498924365942		 Val Algebraic dist: 12.437332153320312
             Algebraic sqr dist: 819.9184216485507	  Val Algebraic sqr dist: 439.9145100911458
             RE1 dist: 409.9592108242754		 Val RE1 dist: 219.9572550455729
             SED dist: 3229.2783061594205		 Val SED dist: 3322.8997395833335


Epoch 15/1500: Training Loss: 333.65129642210144		 Val Loss: 340.6965738932292
             Training MAE: 0.34886041283607483		 Val MAE: 0.351998895406723
