###########################################################################################################################################################

        auged__L12_coeffs__learning rate vit: 2e-05, learning rate mlp: 2e-05, lr_decay: 0.85, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 64, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False, wieght_decay: 5e-05
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None, seq_ratio: 0.3, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0')

algebraic_truth: 0.01671734108374669		 val_algebraic_truth: 0.01732719937960307
algebraic_sqr_truth: 0.0003766067182788482	 val_algebraic_sqr_truth: 0.0004065840815504392                                
RE1_truth: 0.0001883033591394241		 val_RE1_truth: 0.0002032920407752196
SED_truth: 0.0015064116853934068		 val_SED_truth: 0.0016263375679651897

Epoch 1/1100: Training Loss: 4857.8049879807695		 Val Loss: 4159.927083333333
             Training MAE: 0.28527045249938965		 Val MAE: 0.25900113582611084
             Algebraic dist: 4804.838040865385		 Val Algebraic dist: 3814.7647569444443
             Algebraic sqr dist: 48899126.15384615	  Val Algebraic sqr dist: 24982792.888888888
             RE1 dist: 24449563.076923076		 Val RE1 dist: 12491396.444444444
             SED dist: 9715.37860576923		 Val SED dist: 8319.657118055555

Epoch 2/1100: Training Loss: 3988.678185096154		 Val Loss: 3953.343315972222
             Training MAE: 0.26669856905937195		 Val MAE: 0.25380533933639526
             Algebraic dist: 3277.0498798076924		 Val Algebraic dist: 2958.882378472222
             Algebraic sqr dist: 17899888.0	  Val Algebraic sqr dist: 15220355.555555556
             RE1 dist: 8949944.0		 Val RE1 dist: 7610177.777777778
             SED dist: 7977.158653846154		 Val SED dist: 7906.497395833333

Epoch 3/1100: Training Loss: 3885.5625		 Val Loss: 3914.492621527778
             Training MAE: 0.26941031217575073		 Val MAE: 0.25598764419555664
             Algebraic dist: 2684.6256009615386		 Val Algebraic dist: 2463.9685329861113
             Algebraic sqr dist: 12110539.076923076	  Val Algebraic sqr dist: 10652322.666666666
             RE1 dist: 6055269.538461538		 Val RE1 dist: 5326161.777777778
             SED dist: 7770.923076923077		 Val SED dist: 7828.790798611111

Epoch 4/1100: Training Loss: 3775.56640625		 Val Loss: 3916.6697048611113
             Training MAE: 0.26627808809280396		 Val MAE: 0.25199827551841736
             Algebraic dist: 2186.4927884615386		 Val Algebraic dist: 2060.5227864583335
             Algebraic sqr dist: 8128352.615384615	  Val Algebraic sqr dist: 7452904.0
             RE1 dist: 4064176.923076923		 Val RE1 dist: 3726452.0
             SED dist: 7550.924879807692		 Val SED dist: 7833.141493055556

Epoch 5/1100: Training Loss: 3700.475360576923		 Val Loss: 3906.3038194444443
             Training MAE: 0.263235867023468		 Val MAE: 0.24741114675998688
             Algebraic dist: 1782.6506911057693		 Val Algebraic dist: 1684.4551866319443
             Algebraic sqr dist: 5483828.923076923	  Val Algebraic sqr dist: 4975854.666666667
             RE1 dist: 2741915.076923077		 Val RE1 dist: 2487927.3333333335
             SED dist: 7400.734375		 Val SED dist: 7812.40625

Epoch 6/1100: Training Loss: 3637.335637019231		 Val Loss: 3821.7092013888887
             Training MAE: 0.25944453477859497		 Val MAE: 0.24129828810691833
             Algebraic dist: 1460.9302884615386		 Val Algebraic dist: 1392.310763888889
             Algebraic sqr dist: 3686597.5384615385	  Val Algebraic sqr dist: 3422511.5555555555
             RE1 dist: 1843298.7692307692		 Val RE1 dist: 1711255.7777777778
             SED dist: 7274.451923076923		 Val SED dist: 7643.213541666667

Epoch 7/1100: Training Loss: 3598.7247596153848		 Val Loss: 3848.866753472222
             Training MAE: 0.25458139181137085		 Val MAE: 0.2346133142709732
             Algebraic dist: 1207.2147686298076		 Val Algebraic dist: 1194.9518229166667
             Algebraic sqr dist: 2529330.4615384615	  Val Algebraic sqr dist: 2570682.6666666665
             RE1 dist: 1264665.2307692308		 Val RE1 dist: 1285341.4444444445
             SED dist: 7197.223557692308		 Val SED dist: 7697.527777777777

Epoch 8/1100: Training Loss: 3573.7521033653848		 Val Loss: 3944.6896701388887
             Training MAE: 0.24630172550678253		 Val MAE: 0.23191463947296143
             Algebraic dist: 988.1784104567307		 Val Algebraic dist: 983.5210503472222
             Algebraic sqr dist: 1709059.2307692308	  Val Algebraic sqr dist: 1732542.888888889
             RE1 dist: 854529.6153846154		 Val RE1 dist: 866271.4444444445
             SED dist: 7147.275240384615		 Val SED dist: 7889.162326388889

Epoch 9/1100: Training Loss: 3540.269230769231		 Val Loss: 3922.9709201388887
             Training MAE: 0.24456624686717987		 Val MAE: 0.2349511981010437
             Algebraic dist: 811.0271935096154		 Val Algebraic dist: 793.9776475694445
             Algebraic sqr dist: 1153897.2307692308	  Val Algebraic sqr dist: 1135815.7777777778
             RE1 dist: 576948.6153846154		 Val RE1 dist: 567907.9444444445
             SED dist: 7080.305889423077		 Val SED dist: 7845.7265625

Epoch 10/1100: Training Loss: 3559.8701923076924		 Val Loss: 3862.679253472222
             Training MAE: 0.25301170349121094		 Val MAE: 0.24500662088394165
             Algebraic dist: 646.1099008413462		 Val Algebraic dist: 637.8025173611111
             Algebraic sqr dist: 736230.0769230769	  Val Algebraic sqr dist: 736084.6666666666
             RE1 dist: 368115.03846153844		 Val RE1 dist: 368042.3333333333
             SED dist: 7119.5042067307695		 Val SED dist: 7725.138020833333

Epoch 11/1100: Training Loss: 3492.755408653846		 Val Loss: 3870.359809027778
             Training MAE: 0.2588265836238861		 Val MAE: 0.2626224458217621
             Algebraic dist: 503.80855618990387		 Val Algebraic dist: 487.13384331597223
             Algebraic sqr dist: 452080.53846153844	  Val Algebraic sqr dist: 420692.75
             RE1 dist: 226040.26923076922		 Val RE1 dist: 210346.375
             SED dist: 6985.271634615385		 Val SED dist: 7740.482638888889

Epoch 12/1100: Training Loss: 3471.760516826923		 Val Loss: 3920.3289930555557
             Training MAE: 0.26795101165771484		 Val MAE: 0.2526683509349823
             Algebraic dist: 384.78714693509613		 Val Algebraic dist: 354.14531792534723
             Algebraic sqr dist: 266138.5	  Val Algebraic sqr dist: 238451.94444444444
             RE1 dist: 133069.25		 Val RE1 dist: 119225.97222222222
             SED dist: 6943.2770432692305		 Val SED dist: 7840.4375

Epoch 13/1100: Training Loss: 3224.877704326923		 Val Loss: 208.82876247829861
             Training MAE: 0.2995160222053528		 Val MAE: 0.3633285462856293
             Algebraic dist: 246.43306790865384		 Val Algebraic dist: 63.08616807725694
             Algebraic sqr dist: 122116.89423076923	  Val Algebraic sqr dist: 9006.556423611111
             RE1 dist: 61058.456730769234		 Val RE1 dist: 4503.278211805556
             SED dist: 6449.456129807692		 Val SED dist: 417.147216796875

Epoch 14/1100: Training Loss: 26.165306678185097		 Val Loss: 6.904421912299262
             Training MAE: 0.34597083926200867		 Val MAE: 0.3413756191730499
             Algebraic dist: 22.338031475360577		 Val Algebraic dist: 16.237999810112846
             Algebraic sqr dist: 1461.3434495192307	  Val Algebraic sqr dist: 576.7391493055555
             RE1 dist: 730.6717247596154		 Val RE1 dist: 288.3696017795139
             SED dist: 51.82794189453125		 Val SED dist: 13.310523986816406

Epoch 15/1100: Training Loss: 4.575840583214393		 Val Loss: 6.372320810953776
             Training MAE: 0.34245017170906067		 Val MAE: 0.34313586354255676
             Algebraic dist: 12.989609938401442		 Val Algebraic dist: 16.16232469346788
             Algebraic sqr dist: 381.2870342548077	  Val Algebraic sqr dist: 544.4560546875
             RE1 dist: 190.64351712740384		 Val RE1 dist: 272.22802734375
             SED dist: 8.653961181640625		 Val SED dist: 12.246988084581163

Epoch 16/1100: Training Loss: 4.451809516319861		 Val Loss: 6.278660244411892
             Training MAE: 0.343491792678833		 Val MAE: 0.3440173268318176
             Algebraic dist: 13.019493689903847		 Val Algebraic dist: 16.344970703125
             Algebraic sqr dist: 389.2130784254808	  Val Algebraic sqr dist: 576.3737521701389
             RE1 dist: 194.6065392127404		 Val RE1 dist: 288.18687608506946
             SED dist: 8.405826275165264		 Val SED dist: 12.059358384874132

Epoch 17/1100: Training Loss: 4.432714315561148		 Val Loss: 6.278421613905165
             Training MAE: 0.3444640338420868		 Val MAE: 0.3449123799800873
             Algebraic dist: 13.352056650015024		 Val Algebraic dist: 16.846669514973957
             Algebraic sqr dist: 405.94106820913464	  Val Algebraic sqr dist: 625.5585394965278
             RE1 dist: 202.97053410456732		 Val RE1 dist: 312.7792697482639
             SED dist: 8.367547842172476		 Val SED dist: 12.058541191948784

Epoch 18/1100: Training Loss: 4.19388903104342		 Val Loss: 6.005033704969618
             Training MAE: 0.34536659717559814		 Val MAE: 0.3460005819797516
             Algebraic dist: 13.210077139047476		 Val Algebraic dist: 16.49161105685764
