###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 4, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: True pretrained: None, seed: 42, angle range: 30, shift range: 32, 
                        train length: 1024, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings'],
                        use_cls: False, frozen layer: 0


Epoch 1/500: Training Loss: 1.8870424032211304		 Val Loss: 1.0534637451171875
	      Training MAE Angle: 0.4966711103916168		 Val MAE Angle: 0.47057337760925294
              Training MSE Angle: 0.32834622263908386		 Val MSE Angle: 0.30396084785461425
	      Training MAE Shift: 0.30914542078971863		 Val MAE Shift: 0.22454545497894288
              Training Euclidean Shift: 0.4795187711715698	 Val Euclidean Shift: 0.3443213939666748


Epoch 2/500: Training Loss: 0.843723475933075		 Val Loss: 0.600364351272583
	      Training MAE Angle: 0.47193196415901184		 Val MAE Angle: 0.4574914455413818
              Training MSE Angle: 0.30971136689186096		 Val MSE Angle: 0.28313918113708497
	      Training MAE Shift: 0.17262974381446838		 Val MAE Shift: 0.13692641258239746
              Training Euclidean Shift: 0.2713153064250946	 Val Euclidean Shift: 0.21556732654571534


Epoch 3/500: Training Loss: 0.4850058853626251		 Val Loss: 0.26686816215515136
	      Training MAE Angle: 0.3435773551464081		 Val MAE Angle: 0.20310235023498535
              Training MSE Angle: 0.18786531686782837		 Val MSE Angle: 0.06992650032043457
	      Training MAE Shift: 0.1280539184808731		 Val MAE Shift: 0.10271763801574707
              Training Euclidean Shift: 0.20169596374034882	 Val Euclidean Shift: 0.16152594089508057


Epoch 4/500: Training Loss: 0.39571377635002136		 Val Loss: 0.23468976020812987
	      Training MAE Angle: 0.21267174184322357		 Val MAE Angle: 0.16503180265426637
              Training MSE Angle: 0.08334438502788544		 Val MSE Angle: 0.044550609588623044
	      Training MAE Shift: 0.13257859647274017		 Val MAE Shift: 0.10377477407455445
              Training Euclidean Shift: 0.20793931186199188	 Val Euclidean Shift: 0.16268287897109984


Epoch 5/500: Training Loss: 0.23126283288002014		 Val Loss: 0.2988150596618652
	      Training MAE Angle: 0.17415250837802887		 Val MAE Angle: 0.17356654405593872
              Training MSE Angle: 0.051019877195358276		 Val MSE Angle: 0.05011117458343506
	      Training MAE Shift: 0.09958815574645996		 Val MAE Shift: 0.11974422931671143
              Training Euclidean Shift: 0.15785740315914154	 Val Euclidean Shift: 0.18472826480865479


Epoch 6/500: Training Loss: 0.2871977388858795		 Val Loss: 0.3387917995452881
