###########################################################################################################################################################

        auged__ learning rate: 5e-05, lr_decay: 0.85, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 32, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False, weight_decay: 5e-05
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.05, ALG_COEFF: 0, L2_coeff: 0.5, huber_coeff: 0.5, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None, seq_ratio: 0.3, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0')

algebraic_truth: 0.016720653737632974		 val_algebraic_truth: 0.01726637056895665
algebraic_sqr_truth: 0.00037666963576113134	 val_algebraic_sqr_truth: 0.0004033905587026051                                
RE1_truth: 0.00018833481788056567		 val_RE1_truth: 0.00020169527935130256
SED_truth: 0.001506617491685071		 val_SED_truth: 0.001613564682858331

Epoch 1/1100: Training Loss: 14.655092109754248		 Val Loss: 0.46245651245117186
             Training MAE: 0.3770504891872406		 Val MAE: 0.33978214859962463
             Algebraic dist: 267.75786938713594		 Val Algebraic dist: 103.59709821428571
             Algebraic sqr dist: 630966.3689320388	  Val Algebraic sqr dist: 26592.410714285714
             RE1 dist: 315483.1844660194		 Val RE1 dist: 13296.20625
             SED dist: 289.5858616504854		 Val SED dist: 6.401406424386161

Epoch 2/1100: Training Loss: 0.36453832237465866		 Val Loss: 0.44579105377197265
             Training MAE: 0.28718698024749756		 Val MAE: 0.2468968778848648
             Algebraic dist: 77.4424302184466		 Val Algebraic dist: 82.08669782366071
             Algebraic sqr dist: 14219.578883495145	  Val Algebraic sqr dist: 14838.55
             RE1 dist: 7109.789441747573		 Val RE1 dist: 7419.275
             SED dist: 5.074148233654429		 Val SED dist: 7.107524326869419

Epoch 3/1100: Training Loss: 0.3459384140459079		 Val Loss: 0.43905538831438334
             Training MAE: 0.2319796234369278		 Val MAE: 0.22452805936336517
             Algebraic dist: 66.3506333434466		 Val Algebraic dist: 77.034375
             Algebraic sqr dist: 10684.384708737864	  Val Algebraic sqr dist: 13944.264285714286
             RE1 dist: 5342.192354368932		 Val RE1 dist: 6972.132589285714
             SED dist: 5.252161711165049		 Val SED dist: 7.198821585518973

Epoch 4/1100: Training Loss: 0.3185775904979521		 Val Loss: 0.4759932381766183
             Training MAE: 0.21814164519309998		 Val MAE: 0.21167784929275513
             Algebraic dist: 60.53978307038835		 Val Algebraic dist: 80.00606863839286
             Algebraic sqr dist: 8991.857402912621	  Val Algebraic sqr dist: 17612.839285714286
             RE1 dist: 4495.928701456311		 Val RE1 dist: 8806.421428571428
             SED dist: 4.859089971746056		 Val SED dist: 8.069861711774553

Epoch 5/1100: Training Loss: 0.31207438348566446		 Val Loss: 0.43591837201799666
             Training MAE: 0.2085433006286621		 Val MAE: 0.20638392865657806
             Algebraic dist: 59.3104994690534		 Val Algebraic dist: 75.23575613839286
             Algebraic sqr dist: 8660.719660194174	  Val Algebraic sqr dist: 14628.7375
             RE1 dist: 4330.359830097087		 Val RE1 dist: 7314.36875
             SED dist: 4.833988523020328		 Val SED dist: 7.370688302176339

Epoch 6/1100: Training Loss: 0.3023385538638217		 Val Loss: 0.4417598724365234
             Training MAE: 0.205569788813591		 Val MAE: 0.2049950659275055
             Algebraic dist: 57.28857895934466		 Val Algebraic dist: 75.97876674107142
             Algebraic sqr dist: 8114.145631067961	  Val Algebraic sqr dist: 15624.583928571428
             RE1 dist: 4057.0728155339807		 Val RE1 dist: 7812.291964285714
             SED dist: 4.747559778898665		 Val SED dist: 7.5765154157366075

Epoch 7/1100: Training Loss: 0.29539111979956767		 Val Loss: 0.4517971038818359
             Training MAE: 0.2040656954050064		 Val MAE: 0.20285169780254364
             Algebraic dist: 58.07747079793689		 Val Algebraic dist: 79.55394810267858
             Algebraic sqr dist: 8343.188713592233	  Val Algebraic sqr dist: 12201.669642857143
             RE1 dist: 4171.594356796117		 Val RE1 dist: 6100.834375
             SED dist: 4.688202793158374		 Val SED dist: 7.8576416015625

Epoch 8/1100: Training Loss: 0.29076366980098983		 Val Loss: 0.39574873788016185
             Training MAE: 0.20057566463947296		 Val MAE: 0.19827723503112793
             Algebraic dist: 59.21551691444175		 Val Algebraic dist: 75.85215541294643
             Algebraic sqr dist: 8591.555825242718	  Val Algebraic sqr dist: 12523.342857142858
             RE1 dist: 4295.777912621359		 Val RE1 dist: 6261.672321428571
             SED dist: 4.678113326285649		 Val SED dist: 6.82159903390067

Epoch 9/1100: Training Loss: 0.28637558279685604		 Val Loss: 0.40081443786621096
             Training MAE: 0.19578179717063904		 Val MAE: 0.19378888607025146
             Algebraic dist: 59.31727851941748		 Val Algebraic dist: 74.80350864955358
             Algebraic sqr dist: 8768.593446601943	  Val Algebraic sqr dist: 13899.369642857142
             RE1 dist: 4384.296723300971		 Val RE1 dist: 6949.684821428571
             SED dist: 4.672665790446754		 Val SED dist: 6.992151750837054

Epoch 10/1100: Training Loss: 0.27911345472613586		 Val Loss: 0.4185831069946289
             Training MAE: 0.1891518086194992		 Val MAE: 0.18614454567432404
             Algebraic dist: 60.245003413228154		 Val Algebraic dist: 81.86992885044643
