###########################################################################################################################################################

        learning rate vit: 2e-05, learning rate mlp: 2e-05, mlp_hidden_sizes: [1024, 512, 256], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 16, norm: False, train_seqeunces: [0], val_sequences: [0], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False,
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.05, ALG_COEFF: 0, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None 

algebraic_truth: 0.02505361267000611		 val_algebraic_truth: 0.02559499962385311
algebraic_sqr_truth: 0.0008535694483427973	 val_algebraic_sqr_truth: 0.0009350398078907368                                
RE1_truth: 0.00042678472417139867		 val_RE1_truth: 0.0004675199039453684
SED_truth: 0.0034142694278070105		 val_SED_truth: 0.003740159924640212

Epoch 1/600: Training Loss: 14.564691554733187		 Val Loss: 0.6265079587004906
             Training MAE: 0.33227959275245667		 Val MAE: 0.3270784318447113
             Algebraic dist: 400.0075840643275		 Val Algebraic dist: 166.35649073401163
             Algebraic sqr dist: 2908320.374269006	  Val Algebraic sqr dist: 52041.40697674418
             RE1 dist: 1454160.3742690058		 Val RE1 dist: 26020.70348837209
             SED dist: 284.7139528508772		 Val SED dist: 6.139827994413154

Epoch 2/600: Training Loss: 0.6377530460469207		 Val Loss: 0.5913466076518215
             Training MAE: 0.31969955563545227		 Val MAE: 0.31149858236312866
             Algebraic dist: 168.27368877923976		 Val Algebraic dist: 161.72859511264534
             Algebraic sqr dist: 58947.09356725146	  Val Algebraic sqr dist: 50121.47093023256
             RE1 dist: 29473.54678362573		 Val RE1 dist: 25060.738372093023
             SED dist: 6.643223455774854		 Val SED dist: 6.0369142044422235

Epoch 3/600: Training Loss: 0.5787499411064282		 Val Loss: 0.5689866265585256
             Training MAE: 0.30004245042800903		 Val MAE: 0.28738242387771606
             Algebraic dist: 158.9377627010234		 Val Algebraic dist: 163.88567405523256
             Algebraic sqr dist: 53646.801169590646	  Val Algebraic sqr dist: 63009.16279069767
             RE1 dist: 26823.400584795323		 Val RE1 dist: 31504.581395348836
             SED dist: 6.14945403874269		 Val SED dist: 6.336480429006177

Epoch 4/600: Training Loss: 0.512157908657141		 Val Loss: 0.5529977665391079
             Training MAE: 0.2734462022781372		 Val MAE: 0.25959670543670654
             Algebraic dist: 147.59518914473685		 Val Algebraic dist: 166.4962300145349
             Algebraic sqr dist: 45495.023391812865	  Val Algebraic sqr dist: 68176.96511627907
             RE1 dist: 22747.511695906433		 Val RE1 dist: 34088.48546511628
             SED dist: 5.639415004797149		 Val SED dist: 6.837894173555596

Epoch 5/600: Training Loss: 0.4714908265230948		 Val Loss: 0.43535959997842477
             Training MAE: 0.24261769652366638		 Val MAE: 0.22603589296340942
             Algebraic dist: 139.1467470760234		 Val Algebraic dist: 131.94233739098837
             Algebraic sqr dist: 41304.87719298246	  Val Algebraic sqr dist: 34082.9476744186
             RE1 dist: 20652.43859649123		 Val RE1 dist: 17041.4738372093
             SED dist: 5.638324938322368		 Val SED dist: 5.324728677439135

Epoch 6/600: Training Loss: 0.4102209883126599		 Val Loss: 0.3765695704970249
             Training MAE: 0.21138042211532593		 Val MAE: 0.1990370750427246
             Algebraic dist: 120.90162417763158		 Val Algebraic dist: 114.50721066497093
             Algebraic sqr dist: 30822.77485380117	  Val Algebraic sqr dist: 27483.0
             RE1 dist: 15411.387426900585		 Val RE1 dist: 13741.5
             SED dist: 5.229378683525219		 Val SED dist: 4.8692744055459665

Epoch 7/600: Training Loss: 0.36087312754134687		 Val Loss: 0.4089701009351154
             Training MAE: 0.18695500493049622		 Val MAE: 0.17599241435527802
             Algebraic dist: 104.7964295504386		 Val Algebraic dist: 118.73281931322674
             Algebraic sqr dist: 23088.451754385966	  Val Algebraic sqr dist: 23060.781976744187
             RE1 dist: 11544.225877192983		 Val RE1 dist: 11530.39316860465
             SED dist: 4.870474832099781		 Val SED dist: 6.079766561818677

Epoch 8/600: Training Loss: 0.35422783567194355		 Val Loss: 0.37948856797329217
             Training MAE: 0.16944019496440887		 Val MAE: 0.1627340465784073
             Algebraic dist: 98.09693667763158		 Val Algebraic dist: 105.20595248909883
             Algebraic sqr dist: 20266.74269005848	  Val Algebraic sqr dist: 18658.04651162791
             RE1 dist: 10133.37134502924		 Val RE1 dist: 9329.023255813954
             SED dist: 5.114447699652778		 Val SED dist: 5.748486895893896

Epoch 9/600: Training Loss: 0.3150511624520285		 Val Loss: 0.3059280972148097
             Training MAE: 0.15234488248825073		 Val MAE: 0.14621493220329285
             Algebraic dist: 81.89260667945906		 Val Algebraic dist: 81.23221747819767
             Algebraic sqr dist: 14178.266081871345	  Val Algebraic sqr dist: 12018.98909883721
             RE1 dist: 7089.133771929824		 Val RE1 dist: 6009.495276162791
             SED dist: 4.65289520799068		 Val SED dist: 4.610756452693495

Epoch 10/600: Training Loss: 0.30299553675958285		 Val Loss: 0.28171286472054413
             Training MAE: 0.1434018760919571		 Val MAE: 0.13984578847885132
             Algebraic dist: 74.83116319444444		 Val Algebraic dist: 73.27231899527617
             Algebraic sqr dist: 11822.209795321638	  Val Algebraic sqr dist: 10013.523255813954
             RE1 dist: 5911.105263157895		 Val RE1 dist: 5006.761627906977
             SED dist: 4.622389765510782		 Val SED dist: 4.276404802189317

Epoch 11/600: Training Loss: 0.3094139099121094		 Val Loss: 0.28383427996968114
             Training MAE: 0.13886865973472595		 Val MAE: 0.13606686890125275
             Algebraic dist: 74.32735974049707		 Val Algebraic dist: 68.0777956940407
             Algebraic sqr dist: 11914.853070175439	  Val Algebraic sqr dist: 10666.055959302326
             RE1 dist: 5957.4265350877195		 Val RE1 dist: 5333.027979651163
             SED dist: 4.852125022843567		 Val SED dist: 4.429097375204397

Epoch 12/600: Training Loss: 0.30462885181806243		 Val Loss: 0.28491033509720204
             Training MAE: 0.13226886093616486		 Val MAE: 0.13075505197048187
             Algebraic dist: 70.12373789290936		 Val Algebraic dist: 71.22881086482558
             Algebraic sqr dist: 10379.553362573099	  Val Algebraic sqr dist: 11699.595203488372
             RE1 dist: 5189.777046783625		 Val RE1 dist: 5849.797965116279
             SED dist: 4.8731528834292765		 Val SED dist: 4.468299688294876

Epoch 13/600: Training Loss: 0.2779861584044339		 Val Loss: 0.28152184153712073
             Training MAE: 0.12841299176216125		 Val MAE: 0.12618546187877655
             Algebraic dist: 62.45794499269006		 Val Algebraic dist: 62.8245367005814
             Algebraic sqr dist: 8223.720760233919	  Val Algebraic sqr dist: 9440.46511627907
