###########################################################################################################################################################

        auged__ learning rate: 0.0005, lr_decay: 0.8, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 64, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False, weight_decay: 5e-05
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 1, ALG_COEFF: 0, L2_coeff: 1.0, huber_coeff: 1.0, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None, seq_ratio: 0.3, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0')

algebraic_truth: 0.016732347699312065		 val_algebraic_truth: 0.01736631327205234
algebraic_sqr_truth: 0.00037747549896056834	 val_algebraic_sqr_truth: 0.00040792244383030466                                
RE1_truth: 0.00018873774948028417		 val_RE1_truth: 0.00020396122191515233
SED_truth: 0.0015098250542695706		 val_SED_truth: 0.0016316149590743913

Epoch 1/1100: Training Loss: 7933.585336538462		 Val Loss: 4464.879340277777
             Training MAE: 0.32585352659225464		 Val MAE: 0.3309360146522522
             Algebraic dist: 521.8282001201923		 Val Algebraic dist: 10.148865593804253
             Algebraic sqr dist: 5956848.0	  Val Algebraic sqr dist: 194.65326605902777
             RE1 dist: 2978424.0		 Val RE1 dist: 97.32665337456598
             SED dist: 7933.095552884615		 Val SED dist: 4464.392795138889

Epoch 2/1100: Training Loss: 4214.473557692308		 Val Loss: 4631.305555555556
             Training MAE: 0.33254456520080566		 Val MAE: 0.3350081443786621
             Algebraic dist: 9.538870004507212		 Val Algebraic dist: 13.033013237847221
             Algebraic sqr dist: 217.51168118990384	  Val Algebraic sqr dist: 421.2209743923611
             RE1 dist: 108.75584998497597		 Val RE1 dist: 210.61050075954861
             SED dist: 4213.987680288462		 Val SED dist: 4630.82421875

Epoch 3/1100: Training Loss: 3807.361778846154		 Val Loss: 4760.476996527777
             Training MAE: 0.33847740292549133		 Val MAE: 0.3442378640174866
             Algebraic dist: 8.832071157602163		 Val Algebraic dist: 10.850479125976562
             Algebraic sqr dist: 185.59264197716345	  Val Algebraic sqr dist: 262.57630750868054
             RE1 dist: 92.79633037860577		 Val RE1 dist: 131.28816731770834
             SED dist: 3806.8819110576924		 Val SED dist: 4760.001736111111

Epoch 4/1100: Training Loss: 3737.0345552884614		 Val Loss: 5938.746961805556
             Training MAE: 0.3452312648296356		 Val MAE: 0.3442556858062744
             Algebraic dist: 8.953853313739483		 Val Algebraic dist: 9.768486870659721
             Algebraic sqr dist: 205.38557316706732	  Val Algebraic sqr dist: 178.71272786458334
             RE1 dist: 102.6927959735577		 Val RE1 dist: 89.35637749565973
             SED dist: 3736.5643028846152		 Val SED dist: 5938.275607638889

Epoch 5/1100: Training Loss: 3603.368689903846		 Val Loss: 699.7357855902778
             Training MAE: 0.26866626739501953		 Val MAE: 0.1937311440706253
             Algebraic dist: 49.73405573918269		 Val Algebraic dist: 25.25576612684462
             Algebraic sqr dist: 16090.939903846154	  Val Algebraic sqr dist: 1097.1170789930557
             RE1 dist: 8045.469951923077		 Val RE1 dist: 548.5585394965278
             SED dist: 3603.0606971153848		 Val SED dist: 699.5606553819445

Epoch 6/1100: Training Loss: 145.828857421875		 Val Loss: 62.32343207465278
             Training MAE: 0.2059769183397293		 Val MAE: 0.19171665608882904
             Algebraic dist: 15.627582256610577		 Val Algebraic dist: 14.933656480577257
             Algebraic sqr dist: 474.7308819110577	  Val Algebraic sqr dist: 411.6670193142361
             RE1 dist: 237.36544095552884		 Val RE1 dist: 205.83352322048611
             SED dist: 145.62671837439905		 Val SED dist: 62.134663899739586

Epoch 7/1100: Training Loss: 44.8221435546875		 Val Loss: 35.064232720269096
             Training MAE: 0.18787379562854767		 Val MAE: 0.1861696094274521
             Algebraic dist: 16.81512920673077		 Val Algebraic dist: 19.37748040093316
             Algebraic sqr dist: 563.1880258413462	  Val Algebraic sqr dist: 798.4368489583334
             RE1 dist: 281.5940129206731		 Val RE1 dist: 399.2184787326389
             SED dist: 44.65165827824519		 Val SED dist: 34.906104193793404

Epoch 8/1100: Training Loss: 28.60839139498197		 Val Loss: 23.211966620551216
             Training MAE: 0.1861732006072998		 Val MAE: 0.18746741116046906
             Algebraic dist: 20.05676504281851		 Val Algebraic dist: 22.214962429470486
             Algebraic sqr dist: 823.19921875	  Val Algebraic sqr dist: 1042.1995442708333
             RE1 dist: 411.599609375		 Val RE1 dist: 521.0997721354166
             SED dist: 28.455301138070915		 Val SED dist: 23.061508178710938

Epoch 9/1100: Training Loss: 17.005577674278847		 Val Loss: 13.544091966417101
             Training MAE: 0.1887192577123642		 Val MAE: 0.19185923039913177
             Algebraic dist: 21.83235285832332		 Val Algebraic dist: 23.815294053819443
             Algebraic sqr dist: 974.5075120192307	  Val Algebraic sqr dist: 1224.4495442708333
             RE1 dist: 487.25375600961536		 Val RE1 dist: 612.2248263888889
             SED dist: 16.85949002779447		 Val SED dist: 13.398417154947916

Epoch 10/1100: Training Loss: 10.024885911207933		 Val Loss: 9.231359693739149
             Training MAE: 0.19542250037193298		 Val MAE: 0.20857731997966766
             Algebraic dist: 23.97779024564303		 Val Algebraic dist: 27.567540486653645
             Algebraic sqr dist: 1175.2147686298076	  Val Algebraic sqr dist: 1643.2600911458333
             RE1 dist: 587.6073843149038		 Val RE1 dist: 821.6300998263889
             SED dist: 9.879700880784254		 Val SED dist: 9.079041375054253

