###########################################################################################################################################################

        auged__learning rate: 0.0005, lr_decay: 0.8, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 32, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False, weight_decay: 5e-05
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.05, ALG_COEFF: 0, L2_coeff: 0.5, huber_coeff: 0.5, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None, seq_ratio: 0.3, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0')

algebraic_truth: 0.016730005301318122		 val_algebraic_truth: 0.01726027386529105
algebraic_sqr_truth: 0.0003771483536484172	 val_algebraic_sqr_truth: 0.00040327196142503195                                
RE1_truth: 0.0001885741768242086		 val_RE1_truth: 0.00020163598071251597
SED_truth: 0.0015085468303810046		 val_SED_truth: 0.001613086462020874

Epoch 1/1100: Training Loss: 49.30044940837379		 Val Loss: 0.37282562255859375
             Training MAE: 0.23349811136722565		 Val MAE: 0.23344410955905914
             Algebraic dist: 232.76128261529126		 Val Algebraic dist: 71.78310546875
             Algebraic sqr dist: 1655213.6699029126	  Val Algebraic sqr dist: 12279.83125
             RE1 dist: 827606.8349514563		 Val RE1 dist: 6139.915625
             SED dist: 984.3519417475728		 Val SED dist: 6.004571969168527

Epoch 2/1100: Training Loss: 0.3589953450323309		 Val Loss: 0.3905120577130999
             Training MAE: 0.23109881579875946		 Val MAE: 0.27437180280685425
             Algebraic dist: 64.6092801881068		 Val Algebraic dist: 73.75686383928571
             Algebraic sqr dist: 9753.273058252427	  Val Algebraic sqr dist: 13606.51875
             RE1 dist: 4876.636529126214		 Val RE1 dist: 6803.259821428572
             SED dist: 5.779161175477852		 Val SED dist: 6.041058785574776

Epoch 3/1100: Training Loss: 0.33841968277125684		 Val Loss: 0.388324955531529
             Training MAE: 0.22553765773773193		 Val MAE: 0.25701138377189636
             Algebraic dist: 67.08222087378641		 Val Algebraic dist: 85.20262974330358
             Algebraic sqr dist: 10616.502427184467	  Val Algebraic sqr dist: 19146.626785714285
             RE1 dist: 5308.251213592233		 Val RE1 dist: 9573.313392857142
             SED dist: 5.454919315078883		 Val SED dist: 6.248720441545759

Epoch 4/1100: Training Loss: 0.3493510125910194		 Val Loss: 0.46377863202776226
             Training MAE: 0.21425879001617432		 Val MAE: 0.25269392132759094
             Algebraic dist: 71.11066918234224		 Val Algebraic dist: 90.34582868303572
             Algebraic sqr dist: 12127.621359223302	  Val Algebraic sqr dist: 22133.075
             RE1 dist: 6063.810679611651		 Val RE1 dist: 11066.5375
             SED dist: 5.800981540124393		 Val SED dist: 7.8264840262276785

Epoch 5/1100: Training Loss: 0.3259682146090906		 Val Loss: 0.34436135973249166
             Training MAE: 0.19703945517539978		 Val MAE: 0.18196983635425568
             Algebraic dist: 70.85829888501213		 Val Algebraic dist: 76.88484933035714
             Algebraic sqr dist: 11786.279126213592	  Val Algebraic sqr dist: 13097.655357142858
             RE1 dist: 5893.139563106796		 Val RE1 dist: 6548.828125
             SED dist: 5.495867386604976		 Val SED dist: 5.9902810232979915

Epoch 6/1100: Training Loss: 0.3004803703826608		 Val Loss: 0.3621051243373326
             Training MAE: 0.17673592269420624		 Val MAE: 0.13620316982269287
             Algebraic dist: 68.08479975728156		 Val Algebraic dist: 75.11813616071429
             Algebraic sqr dist: 11134.179611650485	  Val Algebraic sqr dist: 11642.98125
             RE1 dist: 5567.089805825242		 Val RE1 dist: 5821.490625
             SED dist: 5.155534170206311		 Val SED dist: 6.626634870256696

