nohup: ignoring input
/home/aviran/miniconda3/envs/alon_env/lib/python3.9/site-packages/transformers/utils/generic.py:260: FutureWarning: `torch.utils._pytree._register_pytree_node` is deprecated. Please use `torch.utils._pytree.register_pytree_node` instead.
  torch.utils._pytree._register_pytree_node(
/home/aviran/miniconda3/envs/alon_env/lib/python3.9/site-packages/huggingface_hub/file_download.py:1150: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/home/aviran/miniconda3/envs/alon_env/lib/python3.9/site-packages/transformers/modeling_utils.py:479: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  return torch.load(checkpoint_file, map_location=map_location)
/home/aviran/Alon/Thesis/AffineRegressor.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(model_path, map_location='cpu')
###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 1, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: True pretrained: plots/BS_32__lr_6e-05__train_size_6144__model_CLIP__conv__alpha_1__angle/, seed: 42, angle range: 0, shift range: 110, 
                        train length: 6144, val length: 780, test length: 780, get old path: False



##### CONTINUE TRAINING #####


Epoch 51/100: Training Loss: 0.0562337189912796		 Val Loss: 0.002485821545124054

			Training MAE Shift: 0.13148305813471475		 Val MAE Shift: 0.0387101411819458
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 52/100: Training Loss: 0.00223790326466163		 Val Loss: 0.0033758944272994995

			Training MAE Shift: 0.0351537416378657		 Val MAE Shift: 0.0452681827545166
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 53/100: Training Loss: 0.002582589164376259		 Val Loss: 0.0041978320479393

			Training MAE Shift: 0.037323651214440666		 Val MAE Shift: 0.052671475410461424
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 54/100: Training Loss: 0.0017229084235926468		 Val Loss: 0.00394993007183075

			Training MAE Shift: 0.030346783498922985		 Val MAE Shift: 0.05290990829467773
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 55/100: Training Loss: 0.0012846394286801417		 Val Loss: 0.0006942442059516907

			Training MAE Shift: 0.026197257141272228		 Val MAE Shift: 0.017935603857040405
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 56/100: Training Loss: 0.0012492774985730648		 Val Loss: 0.0010243189334869385

			Training MAE Shift: 0.025629937648773193		 Val MAE Shift: 0.021947956085205077
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




Epoch 57/100: Training Loss: 0.0007808474668612083		 Val Loss: 0.0007797375321388245

			Training MAE Shift: 0.02074705685178439		 Val MAE Shift: 0.02141461133956909
            Training Euclidean Shift: 0.0		 Val Euclidean Shift: 0.0




