###########################################################################################################################################################

        auged__ learning rate: 0.0005, lr_decay: 0.8, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 64, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False, weight_decay: 5e-05
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.01, ALG_COEFF: 0, L2_coeff: 1.0, huber_coeff: 1.0, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None, seq_ratio: 0.3, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0')

algebraic_truth: 0.016734140423628		 val_algebraic_truth: 0.01731679340203603
algebraic_sqr_truth: 0.0003774047900850956	 val_algebraic_sqr_truth: 0.0004061292339530256                                
RE1_truth: 0.0001887023950425478		 val_RE1_truth: 0.0002030646169765128
SED_truth: 0.0015095797582314564		 val_SED_truth: 0.0016245138314035204

Epoch 1/1100: Training Loss: 36.88081711989183		 Val Loss: 0.40848249859280056
             Training MAE: 0.17526370286941528		 Val MAE: 0.17924830317497253
             Algebraic dist: 388.8013446514423		 Val Algebraic dist: 27.682088216145832
             Algebraic sqr dist: 3391866.769230769	  Val Algebraic sqr dist: 2020.2643229166667
             RE1 dist: 1695933.3846153845		 Val RE1 dist: 1010.1321614583334
             SED dist: 3674.9119591346152		 Val SED dist: 27.494286431206596

Epoch 2/1100: Training Loss: 0.2196318002847525		 Val Loss: 0.17903240521748862
             Training MAE: 0.1724054217338562		 Val MAE: 0.15728484094142914
             Algebraic dist: 45.47601787860577		 Val Algebraic dist: 62.311238606770836
             Algebraic sqr dist: 5059.228365384615	  Val Algebraic sqr dist: 8325.998263888889
             RE1 dist: 2529.6141826923076		 Val RE1 dist: 4162.999131944444
             SED dist: 10.988790658804087		 Val SED dist: 8.075420803493923

Epoch 3/1100: Training Loss: 0.1534682145485511		 Val Loss: 0.1538076400756836
             Training MAE: 0.16566769778728485		 Val MAE: 0.15198735892772675
             Algebraic dist: 59.14201472355769		 Val Algebraic dist: 80.96440294053819
             Algebraic sqr dist: 8350.55048076923	  Val Algebraic sqr dist: 17794.225694444445
             RE1 dist: 4175.275841346154		 Val RE1 dist: 8897.114583333334
             SED dist: 6.122825622558594		 Val SED dist: 7.598048739963108

Epoch 4/1100: Training Loss: 0.11731837346003605		 Val Loss: 0.17284206549326578
             Training MAE: 0.14086174964904785		 Val MAE: 0.08993924409151077
             Algebraic dist: 57.35810734675481		 Val Algebraic dist: 100.26902262369792
             Algebraic sqr dist: 8001.9723557692305	  Val Algebraic sqr dist: 26161.222222222223
             RE1 dist: 4000.9861778846152		 Val RE1 dist: 13080.611111111111
             SED dist: 5.953502361591045		 Val SED dist: 13.942116631401909

Epoch 5/1100: Training Loss: 0.10841973011310284		 Val Loss: 0.0853533214992947
             Training MAE: 0.12582293152809143		 Val MAE: 0.09355172514915466
             Algebraic dist: 45.96357609675481		 Val Algebraic dist: 47.19432237413194
             Algebraic sqr dist: 5243.072115384615	  Val Algebraic sqr dist: 5393.956597222223
