
###########################################################################################################################################################

 learning rate: 0.0001, mlp_hidden_sizes: [1024, 512], jump_frames: 6, use_reconstruction_layer: True
batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], RL_TEST_NAMES: ['fe2fadf89a84e92a', 'f01e8b6f8e10fdd9', 'f1ee9dc6135e5307', 'a41df4fa06fd391b', 'bc0ebb7482f14795', '9bdd34e784c04e3a', '98ebee1c36ecec55'], dataset: Stereo,
average embeddings: False, model: openai/clip-vit-base-patch16, augmentation: True, random crop: True, part: tail, get_old_path: False, computer: 1,
RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 0, trained vit: None, MAX_POOL_SIZE: 7
crop: 224 resize: 256, use conv: True pretrained: None, train_size: 0.0375, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 300

train size: 405, val size: 136, test size: 1064

algebraic_truth: 0.01666238962435255		 val_algebraic_truth: 0.01743733707596274
RE1_truth: 0.00018722967555125555		 val_RE1_truth: 0.00021072779782116413
SED_truth: 0.0014978384270387538		 val_SED_truth: 0.0016858209581936106

Epoch 1/18000: Training Loss: 5095.354166666667		 Val Loss: 4141.902573529412
             	Training MAE: 0.17691700160503387		 Val MAE: 0.17186303436756134
             	Algebraic dist: 1083.5870098039215		 Val Algebraic dist: 85.51401654411765
             	RE1 dist: 7531071.37254902		 Val RE1 dist: 6885.638327205882
             	SED dist: 10190.444240196079		 Val SED dist: 8283.530330882353

Epoch 2/18000: Training Loss: 2593.687806372549		 Val Loss: 1214.0240119485295
             	Training MAE: 0.16977164149284363		 Val MAE: 0.16252638399600983
             	Algebraic dist: 26.177978515625		 Val Algebraic dist: 16.989142922794116
             	RE1 dist: 1104.5461090686274		 Val RE1 dist: 375.3327205882353
             	SED dist: 5187.079044117647		 Val SED dist: 2427.727711397059

Epoch 3/18000: Training Loss: 245.35410922181373		 Val Loss: 17.145742977366726
             	Training MAE: 0.16123224794864655		 Val MAE: 0.19275113940238953
             	Algebraic dist: 22.881548713235293		 Val Algebraic dist: 37.763039981617645
             	RE1 dist: 591.020871629902		 Val RE1 dist: 1775.9630055147059
             	SED dist: 490.4656862745098		 Val SED dist: 33.9788818359375

Epoch 4/18000: Training Loss: 3.878622915230545		 Val Loss: 5.00227939381319
             	Training MAE: 0.2619355320930481		 Val MAE: 0.2981189489364624
             	Algebraic dist: 50.35076784620098		 Val Algebraic dist: 77.50764016544117
             	RE1 dist: 3309.3158700980393		 Val RE1 dist: 7071.738051470588
             	SED dist: 7.314489028033088		 Val SED dist: 9.494287827435661

Epoch 5/18000: Training Loss: 2.0695758894378065		 Val Loss: 5.231137892779182
             	Training MAE: 0.2721373438835144		 Val MAE: 0.2890203297138214
             	Algebraic dist: 39.899880801930145		 Val Algebraic dist: 65.84912109375
             	RE1 dist: 1942.4845281862745		 Val RE1 dist: 4247.15762867647
             	SED dist: 3.675039852366728		 Val SED dist: 9.953621359432445

Epoch 6/18000: Training Loss: 2.098480224609375		 Val Loss: 4.4240857292624085
             	Training MAE: 0.27126145362854004		 Val MAE: 0.25759387016296387
             	Algebraic dist: 34.907176298253674		 Val Algebraic dist: 59.48904957490809
             	RE1 dist: 1441.4500612745098		 Val RE1 dist: 3231.778492647059
             	SED dist: 3.722921034869026		 Val SED dist: 8.427298153147978

Epoch 7/18000: Training Loss: 2.1376239552217373		 Val Loss: 5.801027185776654
             	Training MAE: 0.26916107535362244		 Val MAE: 0.27577298879623413
             	Algebraic dist: 35.2958553538603		 Val Algebraic dist: 57.710255342371326
             	RE1 dist: 1484.5919117647059		 Val RE1 dist: 3965.7913602941176
             	SED dist: 3.808786728802849		 Val SED dist: 11.116078096277574

Epoch 8/18000: Training Loss: 2.0192583869485294		 Val Loss: 6.394290250890395
             	Training MAE: 0.2691032886505127		 Val MAE: 0.27640482783317566
             	Algebraic dist: 34.021769205729164		 Val Algebraic dist: 65.17204015395221
             	RE1 dist: 1425.196537990196		 Val RE1 dist: 5255.795955882353
             	SED dist: 3.576299929151348		 Val SED dist: 12.30867453182445

Epoch 9/18000: Training Loss: 1.9123963000727635		 Val Loss: 5.558040394502528
             	Training MAE: 0.268178790807724		 Val MAE: 0.2703458070755005
             	Algebraic dist: 32.461983475030635		 Val Algebraic dist: 61.36190975413603
             	RE1 dist: 1268.0853247549019		 Val RE1 dist: 4430.169117647059
             	SED dist: 3.365167356004902		 Val SED dist: 10.657399794634651

Epoch 10/18000: Training Loss: 1.940189885158165		 Val Loss: 5.092774335075827
             	Training MAE: 0.26948311924934387		 Val MAE: 0.2661200165748596
             	Algebraic dist: 32.78902659696691		 Val Algebraic dist: 61.80974982766544
             	RE1 dist: 1302.4963235294117		 Val RE1 dist: 4244.283088235294
             	SED dist: 3.418544694489124		 Val SED dist: 9.747970581054688

Epoch 11/18000: Training Loss: 1.9569794897939645		 Val Loss: 5.281916450051701
             	Training MAE: 0.26970985531806946		 Val MAE: 0.2827429473400116
             	Algebraic dist: 35.45810355392157		 Val Algebraic dist: 58.94905000574448
             	RE1 dist: 1491.4629289215686		 Val RE1 dist: 3716.9643841911766
             	SED dist: 3.4578980090571383		 Val SED dist: 10.0743605669807

Epoch 12/18000: Training Loss: 1.9427687701056986		 Val Loss: 4.941688088809743
             	Training MAE: 0.2694988548755646		 Val MAE: 0.274690717458725
             	Algebraic dist: 32.251349954044116		 Val Algebraic dist: 56.96294806985294
             	RE1 dist: 1282.9030330882354		 Val RE1 dist: 3504.186580882353
             	SED dist: 3.423525941138174		 Val SED dist: 9.416518267463236

Epoch 13/18000: Training Loss: 2.118472828584559		 Val Loss: 4.7121115291819855
             	Training MAE: 0.26576098799705505		 Val MAE: 0.2480911761522293
             	Algebraic dist: 34.699637618719365		 Val Algebraic dist: 52.57765467026655
             	RE1 dist: 1510.9598651960785		 Val RE1 dist: 3100.1194852941176
             	SED dist: 3.791580499387255		 Val SED dist: 9.027024213005514

Epoch 14/18000: Training Loss: 2.0652459836473653		 Val Loss: 7.66115525189568
             	Training MAE: 0.26567062735557556		 Val MAE: 0.26101061701774597
             	Algebraic dist: 33.82931219362745		 Val Algebraic dist: 68.10218003216912
             	RE1 dist: 1372.015625		 Val RE1 dist: 5680.49862132353
             	SED dist: 3.687099381989124		 Val SED dist: 14.889307358685661

Epoch 15/18000: Training Loss: 1.9599588431564032		 Val Loss: 6.456392624798943
             	Training MAE: 0.2690106928348541		 Val MAE: 0.26235437393188477
             	Algebraic dist: 33.590312882965684		 Val Algebraic dist: 63.590568991268384
             	RE1 dist: 1418.3253676470588		 Val RE1 dist: 5115.802849264706
             	SED dist: 3.4705681894339766		 Val SED dist: 12.48590087890625

Epoch 16/18000: Training Loss: 1.923700070848652		 Val Loss: 5.401097465963924
             	Training MAE: 0.2739233076572418		 Val MAE: 0.26748761534690857
             	Algebraic dist: 34.42605171951593		 Val Algebraic dist: 58.94577205882353
             	RE1 dist: 1474.4615502450981		 Val RE1 dist: 4071.212775735294
             	SED dist: 3.3896403593175553		 Val SED dist: 10.365387860466452

Epoch 17/18000: Training Loss: 1.8607991536458333		 Val Loss: 6.019193761488971
             	Training MAE: 0.26481521129608154		 Val MAE: 0.2540125846862793
             	Algebraic dist: 32.313251570159316		 Val Algebraic dist: 61.08114085477941
             	RE1 dist: 1318.7234987745098		 Val RE1 dist: 4572.5625
             	SED dist: 3.286704269109988		 Val SED dist: 11.635610243853401

Epoch 18/18000: Training Loss: 1.7053837495691635		 Val Loss: 7.511429281795726
             	Training MAE: 0.2720758318901062		 Val MAE: 0.26506367325782776
             	Algebraic dist: 30.600822897518384		 Val Algebraic dist: 66.34709616268383
             	RE1 dist: 1144.6961550245098		 Val RE1 dist: 5418.84237132353
             	SED dist: 2.9565848556219363		 Val SED dist: 14.587345796472887

Epoch 19/18000: Training Loss: 1.9451083014993107		 Val Loss: 5.444600722369025
             	Training MAE: 0.26939570903778076		 Val MAE: 0.2687021493911743
             	Algebraic dist: 33.89287971047794		 Val Algebraic dist: 61.2620059742647
             	RE1 dist: 1433.2771139705883		 Val RE1 dist: 4478.812040441177
             	SED dist: 3.4478622137331496		 Val SED dist: 10.455728867474724

Epoch 20/18000: Training Loss: 1.7227162379844516		 Val Loss: 5.2295213587143845
             	Training MAE: 0.2751799523830414		 Val MAE: 0.2647821605205536
             	Algebraic dist: 33.54397164139093		 Val Algebraic dist: 56.18780876608456
             	RE1 dist: 1426.1404718137255		 Val RE1 dist: 3813.342830882353
             	SED dist: 2.9955046410654105		 Val SED dist: 10.032477883731618

Epoch 21/18000: Training Loss: 1.6510847503063726		 Val Loss: 5.84090378705193
             	Training MAE: 0.273431658744812		 Val MAE: 0.27396318316459656
             	Algebraic dist: 31.582696652879903		 Val Algebraic dist: 56.44195915670956
             	RE1 dist: 1271.5453431372548		 Val RE1 dist: 3690.968060661765
             	SED dist: 2.854677686504289		 Val SED dist: 11.2260544720818

Epoch 22/18000: Training Loss: 1.8355726354262407		 Val Loss: 6.601832670323989
             	Training MAE: 0.26668572425842285		 Val MAE: 0.2537485659122467
             	Algebraic dist: 31.612481809129903		 Val Algebraic dist: 60.81094180836397
             	RE1 dist: 1249.136412377451		 Val RE1 dist: 4823.00643382353
             	SED dist: 3.2350030038871016		 Val SED dist: 12.80255126953125

Epoch 23/18000: Training Loss: 1.9676515167834712		 Val Loss: 4.628945294548483
             	Training MAE: 0.2691469192504883		 Val MAE: 0.23590627312660217
             	Algebraic dist: 33.97726859298407		 Val Algebraic dist: 56.61668485753677
             	RE1 dist: 1442.5015318627452		 Val RE1 dist: 3404.6185661764707
             	SED dist: 3.4990102730545343		 Val SED dist: 8.910751342773438

Epoch 24/18000: Training Loss: 1.7289762309953278		 Val Loss: 5.16127732220818
             	Training MAE: 0.2720257639884949		 Val MAE: 0.28123873472213745
             	Algebraic dist: 31.996029124540442		 Val Algebraic dist: 61.126658720128674
             	RE1 dist: 1323.0416666666667		 Val RE1 dist: 4401.336397058823
             	SED dist: 3.01337417901731		 Val SED dist: 9.866311465992647

Epoch 25/18000: Training Loss: 1.7347237082088696		 Val Loss: 5.376104915843291
