Wed 25 Dec 2024 10:11:03 IST

SLURM_JOBID:		 2098572
SLURM_JOB_NODELIST:	 cs-4090-09 


/home/alonkay/.conda/envs/alon_env/lib/python3.9/site-packages/transformers/utils/generic.py:260: FutureWarning: `torch.utils._pytree._register_pytree_node` is deprecated. Please use `torch.utils._pytree.register_pytree_node` instead.
  torch.utils._pytree._register_pytree_node(
/home/alonkay/.conda/envs/alon_env/lib/python3.9/site-packages/huggingface_hub/file_download.py:797: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(

###########################################################################################################################################################

__Max learning rate: 0.0001, mlp_hidden_sizes: [1024, 512], jump_frames: 6, use_reconstruction_layer: True
batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], RL_TEST_NAMES: ['fe2fadf89a84e92a', 'f01e8b6f8e10fdd9', 'f1ee9dc6135e5307', 'a41df4fa06fd391b', 'bc0ebb7482f14795', '9bdd34e784c04e3a', '98ebee1c36ecec55'], dataset: Stereo,
average embeddings: False, model: microsoft/resnet-152, augmentation: True, random crop: True, part: head, get_old_path: False, computer: 1,
RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 0, trained vit: None,
crop: 224 resize: 256, use conv: True pretrained: None, train_size: 0.008, norm_mean: tensor([0.5000, 0.5000, 0.5000], device='cuda:0'), norm_std: tensor([0.5000, 0.5000, 0.5000], device='cuda:0'), sched: None seed: 42

train size: 88, val size: 34, test size: 1064

algebraic_truth: 0.016949706456877968		 val_algebraic_truth: 0.01722781956195831
RE1_truth: 0.00019131772304800424		 val_RE1_truth: 0.0001984027214348316
SED_truth: 0.0015305404297330163		 val_SED_truth: 0.0015872038900852203

Epoch 1/65000: Training Loss: 13256.717329545454		 Val Loss: 6202.359375
             	Training MAE: 0.3385602533817291		 Val MAE: 0.3632592260837555
             	Algebraic dist: 5814.196732954545		 Val Algebraic dist: 1344.75517578125
             	RE1 dist: 44499045.81818182		 Val RE1 dist: 1965180.4
             	SED dist: 26512.764204545456		 Val SED dist: 12403.8171875

Epoch 2/65000: Training Loss: 4948.450639204545		 Val Loss: 3390.97890625
             	Training MAE: 0.34996214509010315		 Val MAE: 0.3486257493495941
             	Algebraic dist: 819.2972301136364		 Val Algebraic dist: 571.1734375
             	RE1 dist: 587418.9545454546		 Val RE1 dist: 292360.325
             	SED dist: 9895.922585227272		 Val SED dist: 6780.95859375

Epoch 3/65000: Training Loss: 4775.077059659091		 Val Loss: 3735.4984375
             	Training MAE: 0.3450070917606354		 Val MAE: 0.3433213531970978
             	Algebraic dist: 558.2863547585227		 Val Algebraic dist: 355.0387451171875
             	RE1 dist: 271221.6590909091		 Val RE1 dist: 121203.85
             	SED dist: 9549.16122159091		 Val SED dist: 7470.0

Epoch 4/65000: Training Loss: 4509.064985795455		 Val Loss: 3381.74375
             	Training MAE: 0.3388226330280304		 Val MAE: 0.33514997363090515
             	Algebraic dist: 399.7373046875		 Val Algebraic dist: 262.7321533203125
             	RE1 dist: 138204.85227272726		 Val RE1 dist: 71393.78125
             	SED dist: 9017.117897727272		 Val SED dist: 6762.46328125

Epoch 5/65000: Training Loss: 4272.268465909091		 Val Loss: 3468.13125
             	Training MAE: 0.3338465094566345		 Val MAE: 0.3328205645084381
             	Algebraic dist: 292.7097833806818		 Val Algebraic dist: 193.72174072265625
             	RE1 dist: 75195.39772727272		 Val RE1 dist: 36260.940625
             	SED dist: 8543.514914772728		 Val SED dist: 6935.2390625

Epoch 6/65000: Training Loss: 4090.0007102272725		 Val Loss: 3451.051171875
             	Training MAE: 0.3307201862335205		 Val MAE: 0.329093337059021
             	Algebraic dist: 211.1615545099432		 Val Algebraic dist: 154.963330078125
             	RE1 dist: 41104.64772727273		 Val RE1 dist: 24551.06875
