###########################################################################################################################################################

        auged__learning rate vit: 2e-05, learning rate mlp: 2e-05, lr_decay: 0.85, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 16, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False, wieght_decay: 5e-05
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.1, ALG_COEFF: 0, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None, seq_ratio: 0.3, norm_mean: tensor([0.4815, 0.4578, 0.4082]), norm_std: tensor([0.2686, 0.2613, 0.2758])

algebraic_truth: 0.02480179158652701		 val_algebraic_truth: 0.026860593046460834
algebraic_sqr_truth: 0.0008795608834522527	 val_algebraic_sqr_truth: 0.007281041145324707                                
RE1_truth: 0.00043978044172612635		 val_RE1_truth: 0.0036405205726623537
SED_truth: 0.0035181871274622477		 val_SED_truth: 0.02912416798727853

Epoch 1/900: Training Loss: 128.01184260670732		 Val Loss: 1.1717808314732143
             Training MAE: 0.3497907221317291		 Val MAE: 0.3403976261615753
             Algebraic dist: 945.9999237804878		 Val Algebraic dist: 199.82830636160713
             Algebraic sqr dist: 15121394.263414634	  Val Algebraic sqr dist: 86415.57857142857
             RE1 dist: 7560697.756097561		 Val RE1 dist: 43207.78928571429
             SED dist: 1276.9452743902439		 Val SED dist: 8.76051025390625

Epoch 2/900: Training Loss: 0.8035421231897866		 Val Loss: 0.9057849339076451
             Training MAE: 0.3287172019481659		 Val MAE: 0.3147764801979065
             Algebraic dist: 142.09699885670733		 Val Algebraic dist: 156.6668666294643
             Algebraic sqr dist: 38126.60731707317	  Val Algebraic sqr dist: 48195.635714285716
             RE1 dist: 19063.303658536584		 Val RE1 dist: 24097.817857142858
             SED dist: 5.29774795160061		 Val SED dist: 6.565448434012277

Epoch 3/900: Training Loss: 0.7388045892482851		 Val Loss: 0.8318292345319476
             Training MAE: 0.29947957396507263		 Val MAE: 0.2834737002849579
             Algebraic dist: 129.18810022865853		 Val Algebraic dist: 134.55265066964284
             Algebraic sqr dist: 31235.456097560975	  Val Algebraic sqr dist: 39412.9
             RE1 dist: 15617.728048780487		 Val RE1 dist: 19706.45357142857
             SED dist: 5.112320169588415		 Val SED dist: 6.255089024135045

Epoch 4/900: Training Loss: 0.6595912282059833		 Val Loss: 0.7642036437988281
             Training MAE: 0.26887479424476624		 Val MAE: 0.2533103823661804
             Algebraic dist: 109.45283917682927		 Val Algebraic dist: 116.84226422991071
             Algebraic sqr dist: 22406.829268292684	  Val Algebraic sqr dist: 26951.951785714286
             RE1 dist: 11203.414634146342		 Val RE1 dist: 13475.975892857143
             SED dist: 4.6921735065739325		 Val SED dist: 5.899150739397322

Epoch 5/900: Training Loss: 0.6175758920064787		 Val Loss: 0.767913327898298
             Training MAE: 0.2400611788034439		 Val MAE: 0.2275354564189911
             Algebraic dist: 95.59935213414634		 Val Algebraic dist: 108.19249441964286
             Algebraic sqr dist: 16914.86219512195	  Val Algebraic sqr dist: 24891.9625
             RE1 dist: 8457.431707317073		 Val RE1 dist: 12445.98125
             SED dist: 4.547444264481707		 Val SED dist: 6.15516357421875

Epoch 6/900: Training Loss: 0.5803025408488948		 Val Loss: 0.6879830496651785
             Training MAE: 0.22233028709888458		 Val MAE: 0.2175600379705429
             Algebraic dist: 84.25712652439024		 Val Algebraic dist: 93.01324637276785
             Algebraic sqr dist: 13332.301219512196	  Val Algebraic sqr dist: 16680.989285714284
             RE1 dist: 6666.151219512195		 Val RE1 dist: 8340.494642857142
             SED dist: 4.356559939500762		 Val SED dist: 5.514652797154018

Epoch 7/900: Training Loss: 0.5806543489781821		 Val Loss: 0.685926273890904
             Training MAE: 0.21052566170692444		 Val MAE: 0.20361101627349854
             Algebraic dist: 77.36592035060976		 Val Algebraic dist: 87.31035853794643
             Algebraic sqr dist: 11259.603658536585	  Val Algebraic sqr dist: 14120.4
             RE1 dist: 5629.801829268293		 Val RE1 dist: 7060.2
             SED dist: 4.517562345179116		 Val SED dist: 5.639934866768973

Epoch 8/900: Training Loss: 0.5358345589986662		 Val Loss: 0.6530821119035993
             Training MAE: 0.19467554986476898		 Val MAE: 0.18589146435260773
             Algebraic dist: 69.036328125		 Val Algebraic dist: 78.00066964285715
             Algebraic sqr dist: 8917.975	  Val Algebraic sqr dist: 12336.359821428572
