###########################################################################################################################################################

learning rate vit: 2e-05, learning rate mlp: 2e-05, mlp_hidden_sizes: [512, 256], jump_frames: 6, use_reconstruction_layer: True
batch_size: 1, train_seqeunces: [0, 2], val_sequences: [1, 3, 4], RealEstate: True, batchnorm & dropout: False, 
average embeddings: True, model: openai/clip-vit-base-patch32, augmentation: False, 
predict pose: False, SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.1, ALG_COEFF: 0, unforzen layers: 0, group conv: False
Dataset: 

algebraic_truth: 0.024610555119451448     RE1_truth: 0.08155529509556976       SED_truth: 0.3351620913602182
val_algebraic_truth: 0.014488977800335801   val_RE1_truth: 0.13056560315583882    val_SED_truth: 0.5419180458470395

Epoch 1/70: Training Loss: 9.127864081428966   Val Loss: 4.542342722039474
            Training MAE: 0.36337947845458984  Val MAE: 0.3684936463832855
            Algebraic dist: 215463.77092511012  Val algebraic dist: 149122.7957894737
            RE1 dist: 8.749410083115363        Val RE1 dist: 5.115073327850877
            SED dist: 42.70206669878855        Val SED dist: 20.520977247807018
            Training MAE T: 0.3722180128097534  Val MAE T: 0.37751108407974243
            Algebraic dist T: 219671.718061674  Val algebraic dist T: 149890.6498245614
            RE1 dist T: 9.238571637527533        Val RE1 dist T: 5.099244791666667
            SED dist T: 44.13266192868943        Val SED dist T: 20.458436129385966

Epoch 2/70: Training Loss: 2.759965400863849   Val Loss: 7.359577165570175
            Training MAE: 0.3527720272541046  Val MAE: 0.36205869913101196
            Algebraic dist: 70786.22026431718  Val algebraic dist: 235596.8
            RE1 dist: 2.886293117170292        Val RE1 dist: 8.613194216008772
            SED dist: 11.579226321585903        Val SED dist: 34.558670504385965
            Training MAE T: 0.38136887550354004  Val MAE T: 0.37784966826438904
            Algebraic dist T: 70684.80176211454  Val algebraic dist T: 235795.35719298245
            RE1 dist T: 2.8892921750240914        Val RE1 dist T: 8.619917763157895
            SED dist T: 11.591574244562224        Val SED dist T: 34.58894462719298

Epoch 3/70: Training Loss: 2.171088399340928   Val Loss: 5.383457373903509
