###########################################################################################################################################################

RandomCrop__jump_5_6_7__learning rate vit: 2e-05, learning rate mlp: 2e-05, mlp_hidden_sizes: [512, 256], jump_frames: 6, use_reconstruction_layer: True
batch_size: 1, train_seqeunces: [0, 2], val_sequences: [1, 3, 4], RealEstate: True, batchnorm & dropout: False, 
average embeddings: True, model: openai/clip-vit-base-patch32, augmentation: False, 
predict pose: False, SVD coeff: 0, RE1 coeff: 0 SED coeff: 1, ALG_COEFF: 0, unforzen layers: 0, group conv: False
Dataset: 

###########################################################################################################################################################

RandomCrop__jump_5_6_7__learning rate vit: 2e-05, learning rate mlp: 2e-05, mlp_hidden_sizes: [512, 256], jump_frames: 6, use_reconstruction_layer: True
batch_size: 1, train_seqeunces: [0, 2], val_sequences: [1, 3, 4], RealEstate: True, batchnorm & dropout: False, 
average embeddings: True, model: openai/clip-vit-base-patch32, augmentation: False, 
predict pose: False, SVD coeff: 0, RE1 coeff: 0 SED coeff: 1, ALG_COEFF: 0, unforzen layers: 0, group conv: False
Dataset: 

algebraic_truth: 0.02373571393353076       RE1_truth: 0.07070895692558266        SED_truth: 0.28640238040658866
val_algebraic_truth: 0.006223893465784071   val_RE1_truth: 0.04448345530657202    val_SED_truth: 0.19887533792470868

Epoch 1/60: Training Loss: 26.036476231386025   Val Loss: 36.38193063839187
            Training MAE: 0.3229953348636627   Val MAE: 0.3166130483150482
            Algebraic dist: 108207.0878491497  Val Algebraic dist: 28431.964656505414
            RE1 dist: 6.121358434663847          Val RE1 dist: 9.03386797271924
            SED dist: 25.85256685611067        Val SED dist: 36.181977578970624

Epoch 2/60: Training Loss: 10.252474061591329   Val Loss: 25.845508545946544
            Training MAE: 0.2768981158733368   Val MAE: 0.31018704175949097
            Algebraic dist: 7174.239844920257  Val Algebraic dist: 14346.752374641042
            RE1 dist: 2.5173223893624987          Val RE1 dist: 6.398612664292026
            SED dist: 10.100467276852585        Val SED dist: 25.64588338027391

Epoch 3/60: Training Loss: 6.451757175742356   Val Loss: 26.990691269052352
            Training MAE: 0.26405856013298035   Val MAE: 0.30239805579185486
            Algebraic dist: 2705.171733192352  Val Algebraic dist: 13768.461232604373
            RE1 dist: 1.5718897658934707          Val RE1 dist: 6.679379021012812
            SED dist: 6.306752659925984        Val SED dist: 26.79574635520212

Epoch 4/60: Training Loss: 4.643317280156842   Val Loss: 23.937727799867464
            Training MAE: 0.25539982318878174   Val MAE: 0.3024582862854004
            Algebraic dist: 1822.8511763150939  Val Algebraic dist: 13119.362049922685
            RE1 dist: 1.1226680902502424          Val RE1 dist: 5.923379859730506
            SED dist: 4.503903152260111        Val SED dist: 23.741041597636404

Epoch 5/60: Training Loss: 3.8335687615648957   Val Loss: 25.687216975922244
            Training MAE: 0.2506823241710663   Val MAE: 0.296866238117218
            Algebraic dist: 1469.8069433430258  Val Algebraic dist: 13360.155511376188
            RE1 dist: 0.9212861712761036          Val RE1 dist: 6.361483011652308
            SED dist: 3.6973122631949953        Val SED dist: 25.493507703777336

Epoch 6/60: Training Loss: 3.256562389858137   Val Loss: 23.16026410978573
            Training MAE: 0.24741771817207336   Val MAE: 0.29382890462875366
            Algebraic dist: 1313.1155167856198  Val Algebraic dist: 9800.397614314115
            RE1 dist: 0.7784264961395277          Val RE1 dist: 5.7255443036227085
            SED dist: 3.1222292437659704        Val SED dist: 22.967750786944997

Epoch 7/60: Training Loss: 2.9364505545642787   Val Loss: 27.793140462778883
            Training MAE: 0.24282196164131165   Val MAE: 0.294752836227417
            Algebraic dist: 1178.3994184509647  Val Algebraic dist: 14888.169648774023
            RE1 dist: 0.6989271322087849          Val RE1 dist: 6.8758775472166995
            SED dist: 2.8036726459930392        Val SED dist: 27.59812306715264

Epoch 8/60: Training Loss: 2.6970296804784564   Val Loss: 23.45141995250718
            Training MAE: 0.2386113703250885   Val MAE: 0.29396292567253113
            Algebraic dist: 1007.8257115164332  Val Algebraic dist: 13963.716368455931
            RE1 dist: 0.6394978098978985          Val RE1 dist: 5.7966088020488185
            SED dist: 2.565671569356331        Val SED dist: 23.258587364700684

Epoch 9/60: Training Loss: 2.563104919761653   Val Loss: 25.99673314280981
            Training MAE: 0.23673304915428162   Val MAE: 0.29065704345703125
            Algebraic dist: 898.9490704026787  Val Algebraic dist: 10900.60702451955
            RE1 dist: 0.6052799169392677          Val RE1 dist: 6.428136476281201
            SED dist: 2.432605054685435        Val SED dist: 25.80227661806936

Epoch 10/60: Training Loss: 2.3624336739470437   Val Loss: 26.306958595648332
            Training MAE: 0.23408828675746918   Val MAE: 0.2909592390060425
            Algebraic dist: 768.0562164067319  Val Algebraic dist: 16930.730284956924
            RE1 dist: 0.5567039135468984          Val RE1 dist: 6.511355046802518
            SED dist: 2.23335016438673        Val SED dist: 26.1149509194831

Epoch 11/60: Training Loss: 2.271525506101859   Val Loss: 25.86549625855975
            Training MAE: 0.2322680801153183   Val MAE: 0.2903180718421936
            Algebraic dist: 732.1856991805446  Val Algebraic dist: 16647.241882041086
            RE1 dist: 0.5341756862526434          Val RE1 dist: 6.397656163712171
            SED dist: 2.1435509874217993        Val SED dist: 25.673058869008173

Epoch 12/60: Training Loss: 2.1517417558815755   Val Loss: 24.641368801082393
            Training MAE: 0.23012055456638336   Val MAE: 0.29539066553115845
            Algebraic dist: 661.5965283284871  Val Algebraic dist: 16624.491274574775
            RE1 dist: 0.5048122958933606          Val RE1 dist: 6.09930650472167
            SED dist: 2.0254625614040886        Val SED dist: 24.4458975314778

Epoch 13/60: Training Loss: 2.0599959935897436   Val Loss: 26.693384829909434
            Training MAE: 0.22889941930770874   Val MAE: 0.2915111482143402
            Algebraic dist: 638.1901489117984  Val Algebraic dist: 15173.925336867684
            RE1 dist: 0.48213675385771876          Val RE1 dist: 6.6054622784128565
            SED dist: 1.9345807243479602        Val SED dist: 26.498581428098078

Epoch 14/60: Training Loss: 2.0206581389329457   Val Loss: 29.228721421471175
            Training MAE: 0.22715911269187927   Val MAE: 0.2862587571144104
            Algebraic dist: 561.7583487531941  Val Algebraic dist: 13275.67483984979
            RE1 dist: 0.47260608382346464          Val RE1 dist: 7.235676651894191
            SED dist: 1.896349451218169        Val SED dist: 29.039243704440025

Epoch 15/60: Training Loss: 1.9652156508833378   Val Loss: 26.887132068698918
            Training MAE: 0.225549578666687   Val MAE: 0.29200229048728943
            Algebraic dist: 548.8097629747115  Val Algebraic dist: 11960.214711729623
            RE1 dist: 0.4590779525591462          Val RE1 dist: 6.653093159791252
            SED dist: 1.8421673991100538        Val SED dist: 26.689144646012814

Epoch 16/60: Training Loss: 1.8825147727773373   Val Loss: 25.7204257096311
            Training MAE: 0.2244078814983368   Val MAE: 0.28767749667167664
            Algebraic dist: 513.249757687902  Val Algebraic dist: 14441.004638833665
            RE1 dist: 0.43865201504537843          Val RE1 dist: 6.361196104622266
            SED dist: 1.7602326953365934        Val SED dist: 25.53155545891319

Epoch 17/60: Training Loss: 1.855601952815226   Val Loss: 28.58904041031588
            Training MAE: 0.22338929772377014   Val MAE: 0.2916342616081238
            Algebraic dist: 482.7498898581373  Val Algebraic dist: 12641.664678595096
            RE1 dist: 0.43202332494878404          Val RE1 dist: 7.072526214242324
            SED dist: 1.7339438978654507        Val SED dist: 28.392963400154628

Epoch 18/60: Training Loss: 1.8942880774187154   Val Loss: 23.308304685774242
            Training MAE: 0.2214641124010086   Val MAE: 0.29141053557395935
