###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: False pretrained: None, seed: 42, angle range: 90, shift range: 110, 
                        train length: 2048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings', 'mul_embedding'],
                        use_cls: True


###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: False pretrained: None, seed: 42, angle range: 90, shift range: 110, 
                        train length: 2048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings', 'mul_embedding'],
                        use_cls: True


###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: False pretrained: None, seed: 42, angle range: 90, shift range: 110, 
                        train length: 2048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings', 'mul_embedding'],
                        use_cls: True


###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: False pretrained: None, seed: 42, angle range: 90, shift range: 110, 
                        train length: 2048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings', 'mul_embedding'],
                        use_cls: True


###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: False pretrained: None, seed: 42, angle range: 90, shift range: 110, 
                        train length: 2048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings', 'mul_embedding'],
                        use_cls: True


Epoch 1/200: Training Loss: 3.675524950027466		 Val Loss: 3.7222415924072267
	      Training MAE Angle: 0.4950008988380432		 Val MAE Angle: 0.5185520648956299
              Training MSE Angle: 0.32814788818359375		 Val MSE Angle: 0.3508923530578613
	      Training MAE Shift: 0.5002695322036743		 Val MAE Shift: 0.5007913112640381
              Training Euclidean Shift: 0.7676114439964294	 Val Euclidean Shift: 0.7701620101928711


Epoch 2/200: Training Loss: 3.6520984172821045		 Val Loss: 3.7858291625976563
	      Training MAE Angle: 0.49457138776779175		 Val MAE Angle: 0.5274693965911865
              Training MSE Angle: 0.3285912573337555		 Val MSE Angle: 0.35615835189819334
	      Training MAE Shift: 0.5009719729423523		 Val MAE Shift: 0.5094890594482422
              Training Euclidean Shift: 0.7632728219032288	 Val Euclidean Shift: 0.784787654876709


Epoch 3/200: Training Loss: 3.650209665298462		 Val Loss: 3.7129150390625
	      Training MAE Angle: 0.4951823651790619		 Val MAE Angle: 0.5107799053192139
              Training MSE Angle: 0.3283677101135254		 Val MSE Angle: 0.3470228433609009
	      Training MAE Shift: 0.4981149435043335		 Val MAE Shift: 0.5033942222595215
              Training Euclidean Shift: 0.7616161108016968	 Val Euclidean Shift: 0.7686432361602783


Epoch 4/200: Training Loss: 3.6972193717956543		 Val Loss: 3.5659725189208986
	      Training MAE Angle: 0.5084763169288635		 Val MAE Angle: 0.4646822452545166
              Training MSE Angle: 0.3416461646556854		 Val MSE Angle: 0.2934410095214844
	      Training MAE Shift: 0.5005615949630737		 Val MAE Shift: 0.49324917793273926
              Training Euclidean Shift: 0.7691001296043396	 Val Euclidean Shift: 0.7577719211578369


Epoch 5/200: Training Loss: 3.6373214721679688		 Val Loss: 3.525626373291016
	      Training MAE Angle: 0.5021736025810242		 Val MAE Angle: 0.49317216873168945
              Training MSE Angle: 0.3347189724445343		 Val MSE Angle: 0.32669267654418943
	      Training MAE Shift: 0.49703437089920044		 Val MAE Shift: 0.49012508392333987
              Training Euclidean Shift: 0.7605229020118713	 Val Euclidean Shift: 0.7502083301544189


